"unik","id","forest","block","treatment","id_seedling","type","neg","arb","ves","coil","hyp.amf","endo","pres"
"2","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",1,0,0,0,0,0,"0"
"3","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",1,0,0,0,0,0,"0"
"4","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",1,0,0,0,0,0,"0"
"5","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,1,"1"
"6","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"7","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",1,0,0,0,0,0,"0"
"8","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"9","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"10","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,0,"1"
"11","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",1,0,0,0,0,0,"0"
"12","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"13","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"14","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"15","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"16","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,1,0,0,0,"1"
"17","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"18","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,1,"1"
"19","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,0,"1"
"20","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,1,0,1,1,"1"
"21","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",1,0,0,0,0,0,"0"
"22","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"23","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,1,"1"
"24","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",1,0,0,0,0,0,"0"
"25","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"26","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,1,"1"
"27","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,1,"1"
"28","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",1,0,0,0,0,0,"0"
"29","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"30","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"31","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,0,"1"
"32","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,0,"1"
"33","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,1,"1"
"34","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,0,"1"
"35","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"36","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"37","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"38","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"39","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
"40","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,1,1,"1"
"41","M-FT8-NiR-AS-215","Temperate","8","Untreated","215","P",NA,0,0,0,0,1,"1"
