"","M","id","mean_arb","mean_hyp","mean_ves","mean_endo","mean_coil"
"1","M-FB10-IR-IFB-AS-","294",0,0,1.24557014800917,3.1405044819679,0
"2","M-FB10-IR-IFM-AS-","293",0,0.115740740740741,11.8329124579125,13.1944444444444,0
"3","M-FB10-IR-IFT-AS-","292",1.16279069767442,12.6788810689514,2.38894838841289,3.72488270093839,4.9780701754386
"4","M-FB2-IR-IFT-AS","52",0,0.543478260869565,0,8.20652173913043,0
"5","M-FB4-IR-IFM-AS-","113",0,0,0,1.05909480909481,0
"6","M-FB4-IR-IFT-AS-","112",2.83333333333333,11.5763888888889,2.15277777777778,3.54166666666667,7.69444444444444
"7","M-FB5-IR-IFM-AS-","143",0,0.782513282513283,2.13667614983405,3.98163852111221,0
"8","M-FB5-IR-SI-AS-","141",0,0,1.17816091954023,0,0
"9","M-FB6-IR-IFB-","174",0,4.64285714285714,0.496031746031746,1.58730158730159,0
"10","M-FB6-IR-IFM-AS-","173",0,0.297619047619048,0.595238095238095,1.78571428571429,0
"11","M-FB8-IR-IFM-AS-","233",0.208333333333333,1.64634146341463,0.815548780487805,3.03455284552846,1.0625
"12","M-FB8-IR-IFT-AS-","142",0,0.422149122807018,4.98572011423909,13.3943033455732,0
"13","M-FB8-IR-IFT-AS-","232",0,1.8018018018018,3.08558558558559,1.10610610610611,0
"14","M-FB8-IR-SI-AS-","231",0,0,4.6984649122807,5.12061403508772,0
"15","M-FB9-IR-SI-AS-","261",0,0,7.23404255319149,0.531914893617021,0
"16","M-FM1-IR-IFT-AS","14",0,0.457317073170732,1.26219512195122,10.4268292682927,0
"17","M-FM1-IR-SI-AS-","251",0,0.625695216907675,0.618743047830923,1.22358175750834,0
"18","M-FM10-IR-IFB-AS-","283",0,0.390625,8.62106199186992,4.23865176151762,0
"19","M-FM10-IR-IFT-AS-","282",0.304878048780488,14.7393292682927,1.73272357723577,2.0655487804878,5.45477642276423
"20","M-FM2-IR-IFB-AS","43",0,0.0886524822695035,2.16385933806147,8.07904846335697,0
"21","M-FM2-IR-IFM-AS","44",0,0.61046511627907,4.95072821235612,10.6357470049331,0
"22","M-FM2-IR-IFT-AS","42",0,9.00518341307815,6.14932216905901,2.61662679425837,0
"23","M-FM3-IR-IFB-AS","73",0,1.22282608695652,6.85770750988142,4.79866600790514,0
"24","M-FM3-IR-IFT-AS","72",0,0.347222222222222,0.673272357723577,3.91260162601626,0
"25","M-FM4-IR-IFM-AS-","104",0,0.396825396825397,0.219298245614035,0.516917293233083,0
"26","M-FM4-IR-IFT-AS-","102",0,4.89583333333333,10.7708333333333,1.04166666666667,0
"27","M-FM5-IR-IFT-AS-","132",0.0992063492063492,4.06463675213675,5.64125457875458,13.4725274725275,0
"28","M-FM6-IR-IFB-AS-","163",0,0.641025641025641,0,7.37179487179487,0
"29","M-FM6-IR-IFT-AS-","164",0,0,0.543478260869565,15.2717391304348,0
"30","M-FM7-IR-IFM-AS-","194",0,0.729567821994009,8.13449400941378,5.43378262729996,0
"31","M-FM8-IR-IFM-AS-","224",0,0,1.23693379790941,2.76836527293844,0
"32","M-FM8-IR-IFT-AS-","222",0,2.90904471544715,0.9375,2.27896341463415,0.75
"33","M-FM9-IR-IFB-AS-","253",0,0,1.08695652173913,12.445652173913,0
"34","M-FM9-IR-IFM-AS-","254",0,0.488127943485086,0.127551020408163,3.43897174254317,0
"35","M-FM9-IR-SI-AS-","251",0,0.939280626780627,0.120192307692308,3.21403133903134,0
"36","M-FT1-IR-IFB-AS","13",0,0.0968992248062016,0.268817204301075,8.73760669897204,0
"37","M-FT1-IR-IFB-A","3",0.104166666666667,0.524176294394523,5.37895806589645,3.44498823277706,0.101626016260163
"38","M-FT1-IR-IFM-A","2",0,0,0,4.82954545454545,0
"39","M-FT1-IR-IF","4",0,11.2065217391304,0.292119565217391,5.02038043478261,0
"40","M-FT10-IR-IFB-AS-","273",0,2.67857142857143,3.67857142857143,4.625,0.535714285714286
"41","M-FT10-IR-IFM-AS-","272",0.471698113207547,2.42558555627846,2.97454456733897,5.12971698113208,1.51594014313598
"42","M-FT10-IR-SI-AS-","271",0,0,1.8125,0.625,0
"43","M-FT2-IR-IFM-AS","32",1.57731595231595,39.2879811629812,21.2917462917463,0.993322868322868,22.0999977249977
"44","M-FT3-IR-IFB-AS","63",0,0,0.595238095238095,3.92857142857143,0
"45","M-FT3-IR-IFT-AS","64",0,2.80745902697122,0.238095238095238,5.49135372306104,0.347222222222222
"46","M-FT4-IR-IFM-AS","92",0,0.64987163029525,3.52053915275995,9.06183140778776,0
"47","M-FT5-Ir-IFB-AS-","123",1.08333333333333,1.04166666666667,7.85416666666667,3.0625,0.75
"48","M-FT5-IR-IFM-AS-","122",0,0.107758620689655,2.86411070780399,3.84981851179673,0
"49","M-FT5-IR-IFT-AS-","124",8.31481481481481,45.75,5.54398148148148,0.104166666666667,20.4189814814815
"50","M-FT6-IR-IFT-AS-","154",0,1.83891277641278,0.479883292383292,7.55451474201474,0
"51","M-FT7-IR-IFM-AS-","182",0,0.484496124031008,1.38718890248878,4.97672907505629,0
"52","M-FT7-IR-IFT-AS-","184",0,8.511420828494,2.08042973286876,3.23122338366241,0.317460317460317
"53","M-FT9-IR-IFB-AS-","243",0,0,14.1666666666667,1.6025641025641,0
"54","M-FT9-IR-IFT-AS-","244",0.416666666666667,5.97367831541219,0.486111111111111,5.88922491039427,2.08333333333333
