"plot","forest","block","horizon","pH.H2O","pH.CaCl2","totalC","totalN","totalP","BrayP","ECEC","BS"
"M-FB-1","FB","1","L",4.28,3.65,44.52,2.7858,1582.2,135.6,NA,NA
"M-FB-1","FB","1","F",3.91,2.98,40.25,2.4384,1607.3,223.4,NA,NA
"M-FB-1","FB","1","H",3.67,2.89,19.59,1.1824,1110.4,27.4,8.2,25.5
"M-FB-1","FB","1","Ae",3.94,3.07,4.81,0.3403,612.2,39.1,3.7,19.8
"M-FB-1","FB","1","B",4.5,3.74,7.99,0.4902,2216,10.9,7.2,8.8
"M-FB-10","FB","10","L",4.14,3.33,46.55,2.1013,1130.4,160.1,NA,NA
"M-FB-10","FB","10","F",3.75,2.89,43.12,2.2277,1134.1,221.1,NA,NA
"M-FB-10","FB","10","H",4.5,3.17,14.91,0.9363,1311.4,75.9,6.2,25.4
"M-FB-10","FB","10","B",4.11,3.42,8.32,0.4828,934,4.9,6.8,7.1
"M-FB-2","FB","2","L",4.16,3.57,47.12,2.6222,1193,122,NA,NA
"M-FB-2","FB","2","F",3.59,2.86,46.46,2.3074,1391.2,103.1,NA,NA
"M-FB-2","FB","2","H",4.29,3.2,15.89,1.054,1748.6,25.1,8,16.8
"M-FB-2","FB","2","B",4.19,3.85,8.3,0.5096,1816.2,4.7,4.7,11.4
"M-FB-3","FB","3","L",4.04,3.23,46.71,2.4249,1388.7,193.7,NA,NA
"M-FB-3","FB","3","F",3.91,2.7,43.18,2.5093,1255.6,255.7,NA,NA
"M-FB-3","FB","3","H",3.89,2.63,17.89,1.0849,1225.1,73.3,6.7,35.2
"M-FB-3","FB","3","Ae",4.38,2.93,8.32,0.5421,964.6,26.4,5.7,15.3
"M-FB-3","FB","3","B",3.91,3.55,7.36,0.4057,1276.4,6.3,5.3,7.7
"M-FB-4","FB","4","L",4.04,3.46,46.31,2.0642,1211.2,152.9,NA,NA
"M-FB-4","FB","4","F",3.6,2.96,46.31,2.3251,1193.8,108.8,NA,NA
"M-FB-4","FB","4","H",4.01,2.95,30.93,1.6661,1022.9,90.9,7.8,63.1
"M-FB-4","FB","4","Ae",4.34,3.12,13.06,0.7485,799,23,7.8,21.5
"M-FB-4","FB","4","B",4.7,3.96,8.59,0.4107,1025.7,1.7,6,7.3
"M-FB-5","FB","5","L",3.93,3.29,47.63,2.2648,1384.4,142.8,NA,NA
"M-FB-5","FB","5","F",3.92,2.92,46.96,2.3807,1274.6,182,NA,NA
"M-FB-5","FB","5","H",3.62,2.76,31.08,1.7267,1433.8,125,6.8,45
"M-FB-5","FB","5","Ae",3.52,2.8,6.26,0.4086,687.2,28.8,3.3,19.2
"M-FB-5","FB","5","Ae",3.54,2.9,2.67,0.2001,321,10.1,1.2,22.2
"M-FB-5","FB","5","B",3.83,3.71,10.02,0.5643,1683.2,4.2,5.2,6.3
"M-FB-6","FB","6","L",4.54,3.95,46.48,2.7105,1389.3,142.2,NA,NA
"M-FB-6","FB","6","F",3.79,3.07,46.95,2.7791,1218.5,173.9,NA,NA
"M-FB-6","FB","6","H",3.65,2.92,27.58,1.4328,1332.7,44.1,8.5,53.7
"M-FB-6","FB","6","Ae",3.61,2.95,9.91,0.6262,1124,17.2,6.6,15.2
"M-FB-6","FB","6","B",4.27,3.62,13.18,0.7759,1507.4,4.5,11.2,7.4
"M-FB-7","FB","7","L",4.21,3.58,46.49,2.4573,1493,180.4,NA,NA
"M-FB-7","FB","7","F",4.01,3.04,44.53,2.4687,1307.3,288.3,NA,NA
"M-FB-7","FB","7","H",3.42,2.72,28.52,1.5767,1237.5,70,8,42
"M-FB-7","FB","7","Ae",3.53,2.88,5.93,0.4339,814.7,17.4,9.8,7.3
"M-FB-7","FB","7","B",4.21,3.52,8.37,0.4723,1698.8,5.3,13.7,4.6
"M-FB-8","FB","8","L",4.16,3.44,43.8,2.3176,1317,172.5,NA,NA
"M-FB-8","FB","8","F",3.93,3,44.49,2.531,1139.3,188.2,NA,NA
"M-FB-8","FB","8","H",4.35,3.04,19.6,1.1859,1104.6,47,8.2,25.5
"M-FB-8","FB","8","B",4.57,3.51,9.25,0.4778,1651.9,4,7,7.9
"M-FB-9","FB","9","L",4.3,3.6,39.77,2.1142,1717,212,NA,NA
"M-FB-9","FB","9","F",4.8,3.75,13.1,0.8907,2198.2,150.3,NA,NA
"M-FB-9","FB","9","H",4.65,3.88,9.45,0.659,2375,39.1,5.3,11.1
"M-FB-9","FB","9","B",4.61,4.04,7.98,0.5187,2916.2,11.8,4.2,9.5
"M-FM-1","FM","1","L",4.53,3.92,42.05,2.3047,1405.1,159.7,NA,NA
"M-FM-1","FM","1","F",3.76,3.19,43.65,2.4934,1617.3,198.5,NA,NA
"M-FM-1","FM","1","H",3.85,3.11,21.45,1.3867,2213.2,62,10.2,28.3
"M-FM-1","FM","1","B",4.61,3.95,7.37,0.4511,2146.4,5.4,5.8,11.4
"M-FM-10","FM","10","L",4.26,3.46,44.5,2.2792,1084.2,147.7,NA,NA
"M-FM-10","FM","10","F",3.93,3.08,39.46,2.3815,1016.7,272,NA,NA
"M-FM-10","FM","10","H",3.91,2.86,19.16,1.1682,1177.6,46.9,9.5,30
"M-FM-10","FM","10","Ae",3.54,2.65,8.78,0.5605,702.6,45.9,5.6,20
"M-FM-10","FM","10","B",4.31,3.53,10.37,0.6046,1030.5,6.3,9.3,10.5
"M-FM-2","FM","2","L",4.42,3.84,45.52,2.2019,1441.8,100.6,NA,NA
"M-FM-2","FM","2","F",3.78,3.05,42.82,2.288,1289.3,91.7,NA,NA
"M-FM-2","FM","2","H",3.89,3.12,17.13,1.1849,1328.4,33,11.4,28.9
"M-FM-2","FM","2","B",4.34,3.8,6.48,0.3692,1258.9,2.8,6.5,12.7
"M-FM-3","FM","3","L",4.16,3.38,47.29,2.4388,1062,99.6,NA,NA
"M-FM-3","FM","3","F",3.79,2.85,46.87,2.3781,1671.5,78.7,NA,NA
"M-FM-3","FM","3","H",3.96,2.91,13.79,0.9385,1914.2,46.7,7.5,35.2
"M-FM-3","FM","3","B",3.97,3.45,7.97,0.4833,1448.6,5.7,6.7,12
"M-FM-4","FM","4","L",4.54,3.94,47.41,2.3316,1308,166.3,NA,NA
"M-FM-4","FM","4","F",3.84,3.1,44.17,2.3029,1084,135.1,NA,NA
"M-FM-4","FM","4","H",3.76,2.91,19.25,1.1164,785.7,50.5,9.8,37.8
"M-FM-4","FM","4","B",4.2,3.65,6.44,0.3785,1585.4,8,6,14.8
"M-FM-5","FM","5","L",4.05,3.51,45.94,2.6001,1254.3,159.9,NA,NA
"M-FM-5","FM","5","F",4.09,3.19,41.17,2.5388,1570.4,320.7,NA,NA
"M-FM-5","FM","5","H",3.52,2.92,24.22,1.5333,949.8,90.6,8.6,48.7
"M-FM-5","FM","5","Ae",3.57,2.91,8.89,0.5804,1594.2,52.2,4.3,33.2
