"id","species","forest","block","treatment","leaf1.thickness","leaf2.thickness","leaf3.thickness","leaf.humid.w","leaf.dry.w","petiole.humid.w","petiole.dry.w","stem.humid.w","stem.dry.w","total.root.humid.w","subs.root.humid.w","subs.root.dry.w","leaf.area","petiole.area","stem.length","root.length","root.volume","leaf.P (non-corrigé)","leaf.P","leaf.C","leaf.N","AMF.colo","organ","Length_cm","ProjArea_cm2","SurfArea_cm2","AvgDiam_mm","LenPerVol_cm.m3_Healthy","RootVolume_cm3_Disease","Tips","Forks","Crossings","0<.L.<=0.1000000","0.1000000<.L.<=0.2000000","0.2000000<.L.<=0.3000000","0.3000000<.L.<=0.4000000","0.4000000<.L.<=0.5000000","0.5000000<.L.<=0.6000000","0.6000000<.L.<=0.7000000","0.7000000<.L.<=0.8000000","0.8000000<.L.<=0.9000000","0.9000000<.L.<=1.0000000","1.0000000<.L.<=1.1000000","1.1000000<.L.<=1.2000000","1.2000000<.L.<=1.3000000","1.3000000<.L.<=1.4000000","1.4000000<.L.<=1.5000000","1.5000000<.L.<=1.6000000","1.6000000<.L.<=1.7000000","1.7000000<.L.<=1.8000000","1.8000000<.L.<=1.9000000","1.9000000<.L.<=2.0000000","2.0000000<.L.<=2.1000000","2.1000000<.L.<=2.2000000","2.2000000<.L.<=2.3000000","2.3000000<.L.<=2.4000000","2.4000000<.L.<=2.5000000","2.5000000<.L.<=2.6000000","2.6000000<.L.<=2.7000000","2.7000000<.L.<=2.8000000","2.8000000<.L.<=2.9000000",".L.>2.9000000","0<.SA.<=0.1000000","0.1000000<.SA.<=0.2000000","0.2000000<.SA.<=0.3000000","0.3000000<.SA.<=0.4000000","0.4000000<.SA.<=0.5000000","0.5000000<.SA.<=0.6000000","0.6000000<.SA.<=0.7000000","0.7000000<.SA.<=0.8000000","0.8000000<.SA.<=0.9000000","0.9000000<.SA.<=1.0000000","1.0000000<.SA.<=1.1000000","1.1000000<.SA.<=1.2000000","1.2000000<.SA.<=1.3000000","1.3000000<.SA.<=1.4000000","1.4000000<.SA.<=1.5000000","1.5000000<.SA.<=1.6000000","1.6000000<.SA.<=1.7000000","1.7000000<.SA.<=1.8000000","1.8000000<.SA.<=1.9000000","1.9000000<.SA.<=2.0000000","2.0000000<.SA.<=2.1000000","2.1000000<.SA.<=2.2000000","2.2000000<.SA.<=2.3000000","2.3000000<.SA.<=2.4000000","2.4000000<.SA.<=2.5000000","2.5000000<.SA.<=2.6000000","2.6000000<.SA.<=2.7000000","2.7000000<.SA.<=2.8000000","2.8000000<.SA.<=2.9000000",".SA.>2.9000000","0<.PA.<=0.1000000","0.1000000<.PA.<=0.2000000","0.2000000<.PA.<=0.3000000","0.3000000<.PA.<=0.4000000","0.4000000<.PA.<=0.5000000","0.5000000<.PA.<=0.6000000","0.6000000<.PA.<=0.7000000","0.7000000<.PA.<=0.8000000","0.8000000<.PA.<=0.9000000","0.9000000<.PA.<=1.0000000","1.0000000<.PA.<=1.1000000","1.1000000<.PA.<=1.2000000","1.2000000<.PA.<=1.3000000","1.3000000<.PA.<=1.4000000","1.4000000<.PA.<=1.5000000","1.5000000<.PA.<=1.6000000","1.6000000<.PA.<=1.7000000","1.7000000<.PA.<=1.8000000","1.8000000<.PA.<=1.9000000","1.9000000<.PA.<=2.0000000","2.0000000<.PA.<=2.1000000","2.1000000<.PA.<=2.2000000","2.2000000<.PA.<=2.3000000","2.3000000<.PA.<=2.4000000","2.4000000<.PA.<=2.5000000","2.5000000<.PA.<=2.6000000","2.6000000<.PA.<=2.7000000","2.7000000<.PA.<=2.8000000","2.8000000<.PA.<=2.9000000",".PA.>2.9000000","0<.V.<=0.1000000","0.1000000<.V.<=0.2000000","0.2000000<.V.<=0.3000000","0.3000000<.V.<=0.4000000","0.4000000<.V.<=0.5000000","0.5000000<.V.<=0.6000000","0.6000000<.V.<=0.7000000","0.7000000<.V.<=0.8000000","0.8000000<.V.<=0.9000000","0.9000000<.V.<=1.0000000","1.0000000<.V.<=1.1000000","1.1000000<.V.<=1.2000000","1.2000000<.V.<=1.3000000","1.3000000<.V.<=1.4000000","1.4000000<.V.<=1.5000000","1.5000000<.V.<=1.6000000","1.6000000<.V.<=1.7000000","1.7000000<.V.<=1.8000000","1.8000000<.V.<=1.9000000","1.9000000<.V.<=2.0000000","2.0000000<.V.<=2.1000000","2.1000000<.V.<=2.2000000","2.2000000<.V.<=2.3000000","2.3000000<.V.<=2.4000000","2.4000000<.V.<=2.5000000","2.5000000<.V.<=2.6000000","2.6000000<.V.<=2.7000000","2.7000000<.V.<=2.8000000","2.8000000<.V.<=2.9000000",".V.>2.9000000","0<.T.<=0.1000000","0.1000000<.T.<=0.2000000","0.2000000<.T.<=0.3000000","0.3000000<.T.<=0.4000000","0.4000000<.T.<=0.5000000","0.5000000<.T.<=0.6000000","0.6000000<.T.<=0.7000000","0.7000000<.T.<=0.8000000","0.8000000<.T.<=0.9000000","0.9000000<.T.<=1.0000000","1.0000000<.T.<=1.1000000","1.1000000<.T.<=1.2000000","1.2000000<.T.<=1.3000000","1.3000000<.T.<=1.4000000","1.4000000<.T.<=1.5000000","1.5000000<.T.<=1.6000000","1.6000000<.T.<=1.7000000","1.7000000<.T.<=1.8000000","1.8000000<.T.<=1.9000000","1.9000000<.T.<=2.0000000","2.0000000<.T.<=2.1000000","2.1000000<.T.<=2.2000000","2.2000000<.T.<=2.3000000","2.3000000<.T.<=2.4000000","2.4000000<.T.<=2.5000000","2.5000000<.T.<=2.6000000","2.6000000<.T.<=2.7000000","2.7000000<.T.<=2.8000000","2.8000000<.T.<=2.9000000",".T.>2.9000000","total.root.dry.w","abov.dry.w","total.w","sla","ldmc","srl","r2s","b2a","thick","ld","CN","rd","tips","bran","length.1mm","diam.1mm"
"151","AS","FT","6","SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","AS","FT","6","IFM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","AS","FT","6","IFB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","AS","FT","6","IFT",0.105,0.1025,0,0.3116,0.1216,0.0208,0.0065,0.1933,0.0681,0.3054,0.2487,0.0574,36.652,0.357,7.491,256.617,0.194,0.0217,0.07233333333,45.05,2.5793,0,"Root",256.6168,7.9584,25.0021,0.3101,256.6168,0.194,453,800,71,14.7222,77.7967,92.9612,38.2347,16.0278,5.203,2.1174,1.0336,1.3018,1.2278,0.9788,0.5887,0.5076,1.048,0.2481,0.3225,0.3659,0.1233,1.3589,0.3511,0.1066,0,0,0,0,0,0,0,0,0,0.3536,4.0408,7.4008,4.138,2.2194,0.9048,0.4373,0.2425,0.3503,0.3726,0.3175,0.2084,0.1979,0.4426,0.1103,0.1568,0.1936,0.0664,0.793,0.212,0.07,0,0,0,0,0,0,0,0,0,0.1125,1.2862,2.3557,1.3172,0.7065,0.288,0.1392,0.0772,0.1115,0.1186,0.1011,0.0663,0.063,0.1409,0.0351,0.0499,0.0616,0.0211,0.2524,0.0675,0.0223,0,0,0,0,0,0,0,0,0,7e-04,0.017,0.0474,0.0359,0.0246,0.0126,0.0072,0.0045,0.0075,0.009,0.0082,0.0059,0.0061,0.0149,0.0039,0.0061,0.0082,0.0028,0.0368,0.0102,0.0037,0,0,0,0,0,0,0,0,0,190,174,64,15,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070486369119421,0.1962,0.266686369119421,0.0301414473684211,0.390243902439024,36.4066135347713,34.2567080496596,0.359257742708568,0.10375,3.12717516447368e-06,17.4659791416276,2.75230519636097e-06,176.527665743111,311.748637073927,250.6262,0.253471783875748
"155","AS","FT","6","NIR",0.14,0.13,0,0.4914,0.174,0.0416,0.0119,0.2664,0.1076,0.8701,0.6862,0.1767,60.5,0.6,8.43,572.74,0.494,0.03,0.1,45.06,2.6592,0,"Root",572.7399,18.9734,59.6068,0.3313,572.7399,0.494,1118,3429,347,33.0367,141.146,225.3971,98.1982,31.0748,14.241,8.1257,4.3238,2.3176,1.6085,1.8929,1.1906,1.0739,0.9756,0.7246,0.9294,0.5634,0.1127,0.6169,0.5832,0.0333,0.3138,0.4653,0.4572,0.0552,0.2398,0.68,1.4306,0.0427,0.827,0.6864,7.5261,17.9788,10.5343,4.3126,2.446,1.664,1.019,0.618,0.4778,0.6207,0.4301,0.4197,0.4131,0.33,0.4514,0.2943,0.0618,0.3609,0.3549,0.0222,0.2119,0.3253,0.3399,0.0429,0.1931,0.5653,1.2291,0.0379,0.8363,0.2185,2.3956,5.7228,3.3532,1.3727,0.7786,0.5297,0.3244,0.1967,0.1521,0.1976,0.1369,0.1336,0.1315,0.105,0.1437,0.0937,0.0197,0.1149,0.113,0.0071,0.0674,0.1035,0.1082,0.0136,0.0615,0.1799,0.3912,0.0121,0.2662,0.0013,0.0325,0.1155,0.0904,0.0478,0.0335,0.0272,0.0191,0.0131,0.0113,0.0162,0.0124,0.0131,0.0139,0.012,0.0175,0.0122,0.0027,0.0168,0.0172,0.0012,0.0114,0.0181,0.0201,0.0027,0.0124,0.0374,0.084,0.0027,0.068,418,399,205,61,20,9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.224055187991839,0.2935,0.517555187991839,0.0347701149425287,0.354090354090354,25.562452051807,67.9406880189798,0.763390759767765,0.135,4.69396551724138e-06,16.9449458483755,2.204813931905e-06,195.202011383874,598.700981248036,559.4694,0.263430278760554
"161","AS","FM","6","SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","AS","FM","6","IFM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","AS","FM","6","IFB",0.07,0.055,0.06,0.0907,0.0292,0.011,0.0031,0.1656,0.0678,0.1903,0.1661,0.0535,9.58,0.253,8.487,146.948,0.125,0.0514,0.1713333333,45.49,3.9519,0,"Root",146.9482,4.8407,15.2074,0.3294,146.9482,0.125,265,563,40,11.6561,46.5756,41.8448,21.8325,10.707,2.3758,2.3746,2.9871,0.8642,0.3379,0.9712,0.5603,0.6317,0.2823,0.6827,0.6034,0.9287,0.159,0.2781,0.0356,0.0194,0.1589,0.087,0,0,0,0,0,0,0,0.2901,2.3822,3.3343,2.369,1.4801,0.4108,0.4874,0.6878,0.2279,0.1034,0.3204,0.1985,0.251,0.1207,0.3124,0.2909,0.4812,0.0884,0.161,0.0219,0.0124,0.1071,0.0612,0,0,0,0,0,0,0,0.0924,0.7583,1.0614,0.7541,0.4711,0.1308,0.1552,0.2189,0.0725,0.0329,0.102,0.0632,0.0799,0.0384,0.0994,0.0926,0.1532,0.0282,0.0513,0.007,0.0039,0.0341,0.0195,0,0,0,0,0,0,0,6e-04,0.0099,0.0214,0.0206,0.0164,0.0057,0.008,0.0126,0.0048,0.0025,0.0084,0.0056,0.0079,0.0041,0.0114,0.0112,0.0198,0.0039,0.0074,0.0011,6e-04,0.0057,0.0034,0,0,0,0,0,0,0,96,86,44,17,9,8,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061294701986755,0.1001,0.161394701986755,0.0328082191780822,0.32194046306505,23.9740132893955,17.3144809708967,0.612334685182367,0.0616666666666667,2.02317351598174e-06,11.5109187985526,2.03932796715466e-06,180.335901135095,383.128725807769,141.5556,0.258809612618646
"164","AS","FM","6","IFT",0.065,0.065,0,0.0908,0.031,0.0072,0.0022,0.1341,0.0568,0.1412,0.1131,0.0363,11.046,0.164,9.783,136.552,0.101,0.037,0.1233333333,45.5,2.7402,0,"Root",136.5521,4.185,13.1477,0.3065,136.5521,0.101,223,370,43,15.8304,41.5375,38.9476,18.9893,8.6729,2.2873,1.7389,1.774,2.8944,0.8734,0.3034,0.1018,0.9954,1.1872,0.2662,0.1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4031,2.094,3.1086,2.0816,1.1972,0.3938,0.3607,0.4205,0.7653,0.2623,0.1001,0.0372,0.392,0.502,0.1176,0.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1283,0.6665,0.9895,0.6626,0.3811,0.1253,0.1148,0.1339,0.2436,0.0835,0.0319,0.0118,0.1248,0.1598,0.0374,0.0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04,0.0086,0.02,0.0183,0.0132,0.0054,0.006,0.0079,0.0161,0.0063,0.0026,0.0011,0.0123,0.0169,0.0041,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,55,31,19,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453188328912467,0.09,0.135318832891247,0.0356322580645161,0.341409691629956,30.1314026174701,13.9580905652663,0.503542587680519,0.065,2.31609677419355e-06,16.6046273994599,2.22865403975371e-06,163.307750893433,270.959048567579,133.5457,0.256967277868176
"165","AS","FM","6","NIR",0.1025,0.105,0,0.4775,0.1873,0.0276,0.0098,0.3016,0.1398,1.0026,0.7902,0.2963,59.831,0.507,8.721,601.552,0.568,0.0147,0.049,45.08,2.1711,0,"Root",601.5515,20.8534,65.5129,0.3467,601.5515,0.568,808,2546,272,21.4578,164.3481,208.9031,109.7575,40.2895,18.5342,9.249,5.4565,4.4465,2.9648,1.547,1.3144,1.0962,1.1684,0.7795,1.2574,0.8696,1.5897,1.2447,1.0268,0.3147,0.4408,0.7535,0.1149,0.9628,0.0997,0.9836,0.4001,0.1215,0.0194,0.5339,8.6547,16.6892,11.8635,5.6564,3.1819,1.9062,1.2869,1.1839,0.8849,0.5105,0.4749,0.4274,0.4998,0.3561,0.6055,0.451,0.8706,0.7254,0.6234,0.2023,0.2982,0.5346,0.0846,0.7339,0.0792,0.8169,0.3449,0.1071,0.0177,0.17,2.7549,5.3123,3.7763,1.8005,1.0128,0.6068,0.4096,0.3768,0.2817,0.1625,0.1512,0.1361,0.1591,0.1133,0.1927,0.1436,0.2771,0.2309,0.1984,0.0644,0.0949,0.1702,0.0269,0.2336,0.0252,0.26,0.1098,0.0341,0.0056,0.0012,0.0369,0.1074,0.1026,0.0635,0.0436,0.0313,0.0242,0.0251,0.021,0.0134,0.0137,0.0133,0.017,0.0129,0.0232,0.0186,0.038,0.0336,0.0301,0.0103,0.0161,0.0302,0.005,0.0445,0.005,0.054,0.0237,0.0075,0.0013,247,263,188,58,27,16,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.375943280182232,0.3369,0.712843280182232,0.0319439402028831,0.392251308900524,16.0011371850671,68.9774108473799,1.11588981947828,0.10375,3.31418379604912e-06,20.7636681866335,1.51086621291561e-06,134.319227597947,423.238556267787,585.407,0.27568922134515
"171","AS","FB","6","SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","AS","FB","6","IFT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
